id,qr_code_uid,qr_code_name
C001101-capitol,2017/03/18/4lesjxa59j_C001101_capitol.png,C001101-capitol.png
A000370-capitol,2017/03/18/5qs9bby798_A000370_capitol.png,A000370-capitol.png
O000170-capitol,2017/03/18/5zynk3j2mx_O000170_capitol.png,O000170-capitol.png
B001290-capitol,2017/03/18/xh9tfkfey_B001290_capitol.png,B001290-capitol.png
M001197-capitol,2017/03/18/65b3na8l1y_M001197_capitol.png,M001197-capitol.png
A000371-capitol,2017/03/18/8kssw9mwku_A000371_capitol.png,A000371-capitol.png
W000814-capitol,2017/03/18/9g2keoge5m_W000814_capitol.png,W000814-capitol.png
W000816-capitol,2017/03/18/4jv6745q65_W000816_capitol.png,W000816-capitol.png
P000607-capitol,2017/03/18/41d89iqzos_P000607_capitol.png,P000607-capitol.png
W000821-capitol,2017/03/18/8ne8lma2de_W000821_capitol.png,W000821-capitol.png
K000387-capitol,2017/03/18/6wa4lgtau1_K000387_capitol.png,K000387-capitol.png
T000474-capitol,2017/03/18/lrh00bkjs_T000474_capitol.png,T000474-capitol.png
R000597-capitol,2017/03/18/xfb3xh0z8_R000597_capitol.png,R000597-capitol.png
B001297-capitol,2017/03/18/7x3oaq02pa_B001297_capitol.png,B001297-capitol.png
C001103-capitol,2017/03/18/225y61pkhr_C001103_capitol.png,C001103-capitol.png
L000583-capitol,2017/03/18/8mti3cyqkp_L000583_capitol.png,L000583-capitol.png
B001295-capitol,2017/03/18/37bdg2h8vr_B001295_capitol.png,B001295-capitol.png
P000611-capitol,2017/03/18/21x82gkcr7_P000611_capitol.png,P000611-capitol.png
M001194-capitol,2017/03/18/2ivheext26_M001194_capitol.png,M001194-capitol.png
B001293-capitol,2017/03/18/343kojfds0_B001293_capitol.png,B001293-capitol.png
C001069-capitol,2017/03/18/1mb455tcv4_C001069_capitol.png,C001069-capitol.png
C001091-capitol,2017/03/18/3yugtbcogk_C001091_capitol.png,C001091-capitol.png
F000463-capitol,2017/03/18/g1wmbuz7x_F000463_capitol.png,F000463-capitol.png
R000602-capitol,2017/03/18/22p0sn8sem_R000602_capitol.png,R000602-capitol.png
S001196-capitol,2017/03/18/4xxato14mc_S001196_capitol.png,S001196-capitol.png
E000294-capitol,2017/03/18/69xw90pbts_E000294_capitol.png,E000294-capitol.png
R000603-capitol,2017/03/18/1dpb6u6kot_R000603_capitol.png,R000603-capitol.png
K000386-capitol,2017/03/18/2b4qi5o3nb_K000386_capitol.png,K000386-capitol.png
R000604-capitol,2017/03/18/2aq2g9cmqj_R000604_capitol.png,R000604-capitol.png
P000610-capitol,2017/03/18/47nhnxtywi_P000610_capitol.png,P000610-capitol.png
B001292-capitol,2017/03/18/5dazonbte6_B001292_capitol.png,B001292-capitol.png
M001195-capitol,2017/03/18/8uyp1omgd0_M001195_capitol.png,M001195-capitol.png
B001296-capitol,2017/03/18/281j7e0bbj_B001296_capitol.png,B001296-capitol.png
H001073-capitol,2017/03/18/22w94jo4ca_H001073_capitol.png,H001073-capitol.png
B001291-capitol,2017/03/18/85zf2fxbad_B001291_capitol.png,B001291-capitol.png
G000576-capitol,2017/03/18/6j3bx4urp9_G000576_capitol.png,G000576-capitol.png
S001198-capitol,2017/03/18/9gs7phliqy_S001198_capitol.png,S001198-capitol.png
T000476-capitol,2017/03/18/8r2j0zpett_T000476_capitol.png,T000476-capitol.png
Y000066-capitol,2017/03/18/331ia71w88_Y000066_capitol.png,Y000066-capitol.png
C001108-capitol,2017/03/18/2es8yr5hjf_C001108_capitol.png,C001108-capitol.png
S001170-capitol,2017/03/18/34onppeazx_S001170_capitol.png,S001170-capitol.png
R000609-capitol,2017/03/18/9lpq54f6d3_R000609_capitol.png,R000609-capitol.png
R000605-capitol,2017/03/18/4a76dxczh2_R000605_capitol.png,R000605-capitol.png
M001193-capitol,2017/03/18/7i1rbxycvc_M001193_capitol.png,M001193-capitol.png
H001050-capitol,2017/03/18/2rtyg19sou_H001050_capitol.png,H001050-capitol.png
B001300-capitol,2017/03/18/r19zs2ff_B001300_capitol.png,B001300-capitol.png
C001111-capitol,2017/03/18/2duyrgdv04_C001111_capitol.png,C001111-capitol.png
R000607-capitol,2017/03/18/9cpfrd9of1_R000607_capitol.png,R000607-capitol.png
B001299-capitol,2017/03/18/3wuzdd55pe_B001299_capitol.png,B001299-capitol.png
C001107-capitol,2017/03/18/89zd83fq4i_C001107_capitol.png,C001107-capitol.png
W000819-capitol,2017/03/18/6m095uquus_W000819_capitol.png,W000819-capitol.png
A000369-elko,2017/03/18/2z9f8r0bug_A000369_elko.png,A000369-elko.png
A000371-san_bernardino,2017/03/18/2pai4q88xg_A000371_san_bernardino.png,A000371-san_bernardino.png
K000393-capitol,2017/03/18/8lnuhmaeak_K000393_capitol.png,K000393-capitol.png
C001113-capitol,2017/03/18/3qw5oeik6n_C001113_capitol.png,C001113-capitol.png
B001302-capitol,2017/03/18/707afep0lu_B001302_capitol.png,B001302-capitol.png
G000578-capitol,2017/03/18/43lab7lcow_G000578_capitol.png,G000578-capitol.png
D000628-capitol,2017/03/18/2o66hujtaj_D000628_capitol.png,D000628-capitol.png
D000627-capitol,2017/03/18/8pbfaq0x0y_D000627_capitol.png,D000627-capitol.png
M001199-capitol,2017/03/18/7uhk2k7v88_M001199_capitol.png,M001199-capitol.png
F000465-capitol,2017/03/18/2p437ufx9r_F000465_capitol.png,F000465-capitol.png
K000391-capitol,2017/03/18/4vhdhxtwnq_K000391_capitol.png,K000391-capitol.png
H001077-capitol,2017/03/18/6xcrbxzhu_H001077_capitol.png,H001077-capitol.png
R000606-capitol,2017/03/18/3bm9huby34_R000606_capitol.png,R000606-capitol.png
B001301-capitol,2017/03/18/9010ijkjzw_B001301_capitol.png,B001301-capitol.png
P000613-capitol,2017/03/18/46y8qta8mz_P000613_capitol.png,P000613-capitol.png
J000299-capitol,2017/03/18/210yn6wkii_J000299_capitol.png,J000299-capitol.png
H001076-capitol,2017/03/18/2jd80q4mvy_H001076_capitol.png,H001076-capitol.png
C001112-capitol,2017/03/18/8d9fn5eum6_C001112_capitol.png,C001112-capitol.png
B001298-capitol,2017/03/18/8xtnql1809_B001298_capitol.png,B001298-capitol.png
G000583-capitol,2017/03/18/1zv63z8n27_G000583_capitol.png,G000583-capitol.png
T000478-capitol,2017/03/18/5mebhf0vu3_T000478_capitol.png,T000478-capitol.png
A000375-capitol,2017/03/18/347kma8n84_A000375_capitol.png,A000375-capitol.png
D000626-capitol,2017/03/18/8tin09ubqw_D000626_capitol.png,D000626-capitol.png
A000367-battle_creek,2017/03/18/2evkqdme4x_A000367_battle_creek.png,A000367-battle_creek.png
R000608-capitol,2017/03/18/8wl90s4ezj_R000608_capitol.png,R000608-capitol.png
F000464-capitol,2017/03/18/8ik8wnvq91_F000464_capitol.png,F000464-capitol.png
S001199-capitol,2017/03/18/73dyp5o4v8_S001199_capitol.png,S001199-capitol.png
G000579-capitol,2017/03/18/1tzlmq57t1_G000579_capitol.png,G000579-capitol.png
E000296-capitol,2017/03/18/677qs8bpu5_E000296_capitol.png,E000296-capitol.png
A000360-chattanooga,2017/03/18/1ilk6opcl4_A000360_chattanooga.png,A000360-chattanooga.png
A000360-jackson,2017/03/18/22wh1qm0xk_A000360_jackson.png,A000360-jackson.png
A000360-memphis,2017/03/18/6j611t362w_A000360_memphis.png,A000360-memphis.png
A000360-nashville,2017/03/18/667c0xzbgq_A000360_nashville.png,A000360-nashville.png
A000369-reno,2017/03/18/64b0v2shg2_A000369_reno.png,A000369-reno.png
A000370-charlotte,2017/03/18/809s3iqt3h_A000370_charlotte.png,A000370-charlotte.png
